# sign Index; sign code;  Info;  IsOrdered
# 特征码位置索引; 特征码;  壳/编译器名称;  是否从头往下查询（如果有位置索引请置0）

# Added
01020304050608090A0B0C0D0E0F1112;60E80100000083C404E8010000005D81;PEX 0.99 -> baRT^CrackPl;0
01060B0C0D0E0F101112131415161718191A1B1C;B86864FF350000000064892500000000669C6050;PEtite 2.2 -> Ian Luck;0
010607080D0E0F101112131415161718191A1B1C1D1E;B86A006864FF350000000064892500000000669C6050;PEtite 2.1 -> Ian Luck;0
01060708090A0B0C0E0F10131415161718191A1B1C1D20212223242528;B8669C60508BD8036854BC6A00FF50188BCC8DA054BC8BC38D90E01568;PEtite 2.0 -> Ian Luck;0
060708090A0B0C0D0E0F10111213141516171819;669C60508BD803006854BC00006A00FF50148BCC;PEtite 1.4 -> Ian Luck;0
01060B0C0D0E0F1011131415161A;B8B983F9007E06803040E2F5E9FF;PEShit -> snaker;0
060708090A0B0C0D0E0F101112131415161718191A1F20212223242526272829;669C60508D8800F000008D90041600008BDC8BE1685350800424085080042442;PEtite 1.3 -> Ian Luck;0
01020304051C1D1E1F2021;E800000000B91B010000D1;PESHiELD 0.1b MTE -> ANAKiN;0
01020308090A0B;7400E900000000;PE Pack 1.0 -> ANAKiN;0
0102030405060708090A0B0C0D0E131415161719;525155576467A1300085C0780DE85883C007C6C3;PE Protect 0.9 -> Christoph Gabler;0
0102030405060708090A0B0C0D0E0F101112131415161B1C1D1E1F20212224252627282A2B2C2D2E3031;E8040000008BEC5DC333C05D8BFD81ED3326400081EF83EF0589AD8827408D9D0729408DB56228404680;PE Password 0.2 SMT/SMF;0
0102030405060708090A0B0C0D0E0F101112131415161718191A1B1C1D1E1F20212223;5D8BC581EDB22C40002B85943E40002D710200008985983E40000FB6B59C3E40008BFD;PENinja modified -> +DZA;0
0102030405060708090A0B0C0D0E0F101112131415161718191A1B1C1D1E1F2021222324;909090909090909090909090909090909090909090909090909090909090909090909090;PENinja -> +DZA Kracker/TNT!;0
01020708090A0B0C0D0E0F10111213141516;60E9EF4003A7078F071C375D43A704B92C3A;PENightMare 2 Beta -> FreddyK;0
01020304050607080D0E0F101112;60E8000000005DB98031154181F9;PENightMare 1.3 -> FreddyK;0
0105060708;E900F00FC6;PEncrypt 3.1 -> junkcode;0
0102030405060708090A0B0C0D0E0F101112131415161718191A1F20212223;E8000000005D81ED051040008DB5241040008BFEB90F000000BBAD33C3E2FA;PEncrypt 3.0 -> junkcode;0
01020308090A0F10111213141516;609CBE8BFEB9BB44524F4CAD33C3;PEMangle -> Lord Julus;0
0102030405060708090A0B0C0D0E0F101112131415161718191A1B1C;EB03CD20C71EEB03CD20EA9CEB02EB01EB01EB60EB03CD20EBEB01EB;PE Lock NT 2.04 -> :MARQUiS:;0
01020308090A0B0C0D0E0F101112131415161718191A1B1C1D1E222324;9C60BD01AD543A4000FFB5503A40006A40FF95883A400050502D008985;PC Shrinker 0.71 -> Virogen;0
020708090A0B0C0D0E0F1011;BD01AD553940008DB5353940;PC Shrinker 0.29 -> Virogen;0
0102030405060708090A0B0C0D0E0F101112131415161718191A1B1C1D1E;5D8BD581EDA23040002B959133400081EA0B00000089959A33400080BD99;PEDiminisher 0.1 -> Teraphy;0
01020308090A0B0C101112131415161718191A1B1C1D;EB0668C39C60E80233C08BC483C004938BE38B5BFC81;PECompact 1.4x or above -> Jeremy Collake;0
01020308090A0B0C101112131415161718191A1B1C1D1E1F2021232425262728292B2C2D2E2F313233353638393A3B3C3D3E4041424344464748494A4C4D4E;EB0668C39C60E80233C08BC483C004938BE38B5BFC81EB3F904087DD8B85E69040018533904066C785904090900185DA90400185DE90400185E29040BB5B11;PECompact 1.66 -> Jeremy Collake;0
01020308090A0B0C101112131415161718191A1B1C1D1E1F2021232425262728292B2C2D2E2F31323334353638393A3B3C3D3E404142;EB0668C39C60E80233C08BC483C004938BE38B5BFC81EB0F804087DD8B85A68040018503804066C785008040909001859E8040BBE80E;PECompact 1.33 -> Jeremy Collake;0
01020308090A0B0C101112131415161718191A1B1C1D1E1F2021232425262728292B2C2D2E2F313233353638393A3B3C3D3E404142;EB0668C39C60E80233C08BC483C004938BE38B5BFC81EB0F704087DD8B85A67040018503704066C7857040909001859E7040BBF308;PECompact 1.22 -> Jeremy Collake;0
01020308090A0B0C101112131415161718191A1B1C1D1E1F202123242526272829;EB0668C39C60E80233C08BC483C004938BE38B5BFC81EB0F704087DD8B859A7040;PECompact 1.20 - 1.20.1 -> Jeremy Collake;0
01020308090A0B0C101112131415161718191A1B1C1D1E1F2021232425262728292B2C2D2E2F313233353638393A3B3C3D3E4041;EB0668C39C60E80233C08BC483C004938BE38B5BFC81EB0F604087DD8B859A6040018503604066C785604090900185926040BB14;PECompact 1.10b7 -> Jeremy Collake;0
01020308090A0B0C101112131415161718191A1B1C1D1E1F2022232425262728292B2C2D2E2F313233353638393A3B3C3D3E4041;EB0668C39C60E80233C08BC483C004938BE38B5BFC81EB0F600087DD8B859A6040018503604066C785604090900185926040BBB7;PECompact 1.10b6 -> Jeremy Collake;0
01020308090A0B0C101112131415161718191A1B1C1D1E1F2021232425262728292B2C2D2E2F313233353638393A3B;EB0668C39C60E80233C08BC483C004938BE38B5BFC81EB0F604087DD8B85956040018503604066C78560409090BB95;PECompact 1.10b3 -> Jeremy Collake;0
01020308090A0B0C101112131415161718191A1B1C1D1E1F2021232425262728;EB0668C39C60E80233C08BC483C004938BE38B5BFC81EBA0864087DD8B852A87;PECompact 0.977 -> Jeremy Collake;0
01020308090A0B1011121314191A1F20252627;EB0668C39C60E85D555881ED2B85018550B902;PECompact 0.94 -> Jeremy Collake;0
01020308090A0B101115161718191A1B1D1E1F202122232526;EB0668C39C60BDB902B0908DBDA54F40F3AA01AD045140FFB5;PECompact 0.92 -> Jeremy Collake;0
0102030405060708090A0B0C0D0E0F10111213141516191A1B1C1D1E2324;9C60E80200000033C08BC483C004938BE38B5BFC81EB400087DD01AD01AD;PEBundle 2.0b5 - 2.0x -> Jeremy Collake;0
0102030405060708090A0B0C0D0E0F10111213141516191A1B1C1D1E1F202122232425262728292A2B2C;9C60E80200000033C08BC483C004938BE38B5BFC81EB400087DD6A04680010000068000200006A00FF95;PEBundle 0.2 - 2.0x -> Jeremy Collake;0
0102030405060708090A0B0C0D0E0F1011121315161718191A1B1C1D1E1F20212224252627282A2B2C;535152565755E8000000005D8BCD81ED3330402B8DEE32400083E90B898DF2324080BDD13240010F84;PC PE Encryptor alpha preview -> The +Q, Plushmm & Mr. Nop;0
0102030405060708090A0B0C0D0E0F101112131415161718191A1B1C1D1E1F202122232425262728292A2B;60E801000000E883C404E801000000E95D81EDD3224000E804020000E8EB08EB02CD20FF24249A66BE4746;Pack Master 1.0 -> WebtoolMaster (PEX Clone);0
0102030405060708090D;83EC5C53555657FF1500;Nullsoft PiMP 1.x;0
010203040508090A0B0C0E131415;558BEC81EC000056576ABE598DBD;Nullsoft PiMP 1.3x;0
0102030405060708090A0B0C0D0E0F101112;8D50122BC9B11E8A023477880242E2F7C88C;NFO 1.0 -> Bart^CrackPL;0
0102030405;E9A6000000;Neolite 2.0 -> Neoworx Inc.;0
01020304090A0B0C0D0E0F101112131415161718;60669CBB80B300104000904B83FBFF75F3669D61;LameCrypt -> LaZaRus;0
0102030405060708090A0B0C0D0F1011121315161718;54E8000000005D8BC581ED6134002B8560370083E806;Krypton 0.4 -> Yado/Lockless;0
0102030405060708090A0B0C0D0E0F10;8B0C24E90A7C0100AD4240BDBE9D7A04;Krypton 0.2 -> Yado/Lockless;0
0102030405060708090A0B0C;E803000000E9EB6C5840FFE0;kryptor 5 -> r!sc;0
010203040508090A0B0C0D;558BEC81EC00005356576A;GLBS Install Stub 32-bit -> Wise;0
01020304050608090A0B0C0D0E0F10151A1B20212223;558BEC81EC1400005356576A00FF1568FF1585C07429;Install Stub 32-bit -> InstallShield;0
0102030405060708090A0B0C0D0E0F101112131415161718191A;496E6E6F53657475704C647257696E646F770000535441544943;Inno-Setup Module;0
01020304;496E6E6F;Inno Setup Module;0
0102030405060708090A0B0C0D0E0F101112131415161718191A1B1C1D1E1F202122232425262728292A2B2D2E2F303132;4B45524E454C33322E646C6C00004C6F61644C69627261727941000047657450726F634164647265737300000000000000;FSG 1.2 Heuristic Mode -> dulek/xt;0
0102030405060708090A0B101112131415161718191A1B1C1D1E1F20212223242526;BBD0014000BF00104000BE53E80A00000002D275058A164612D2C3FCB280A46A025B;FSG 1.0 -> dulek/xt;0
0102030405060708090A0B0C0D0E0F101112131415161718191A1B1C1D1E1F20;E919320000E97C2A0000E919240000E9FF230000E91E2E0000E9882E0000E92C;EZIP 1.0 -> Jonathan Clark;0
0102030405060708090A0B0C0D0E0F10111213141516171C212223;68001040006804010000E83903000005001040C6005C68686A00E8;EXEJoiner 1.0 -> y0da;0
0102030405060708090A0B0C0D0E0F1011191A1B1C1D1E1F202122;E8240000008B4C240CC70117000100C78131C089411489411880A1;EXECryptor 1.3.0.45 -> SoftLab MIL-TEC Ltd.;0
0102030405060708090A0B0C0D0E0F101112131415;60E8000000005D81EDFB1D4000B97B0900008BF7AC;EXEStealth 1.1 -> WebtoolMaster (y0da's Cryptor Clone);0
0102030405060708090A0B0C0D0E0F1011121318191D202122232425262728292A;3BC074028183553BC074028183533BC97401BC028100003BDB7401BE5D8BD581ED;EXE32Pack 1.3x -> SteelBytes;0
0102030405060708090A0B0C0D0E0F1011121318191D202122232425262728292A2B2C2D2E;3BC074028183553BC074028183533BC97401BC028100003BDB7401BE5D8BD581EDCC8D4000;EXE32Pack 1.36 -> SteelBytes;0
0102030405060708090A0B0C0D0E0F101516;55E8000000005D83ED068BC5556089AD2B85;Crunch/PE -> BitArts;0
0102030405060708090A0B0C0D0E0F10111213141516171819;E92E030000EB02833D58EB02FF1D5BEB020FC75FEB03FF1D34;CodeCrypt 0.164 -> defiler;0
010203040506070A0B0C0D101112131415161718191A1B1C1D1E202122232425262728292A2B2C2D2E2F3031;558BEC81EC0C0256BE04018D85F8FEFFFF56506A00FF155410408A8DF8FEFFFF33D284C98D85F8FEFFFF7416;CExe 1.0a -> Tinyware Inc.;0
0102030405060708090A0B0C0D0E0F10111213;558BEC81C4E4FEFFFF53565733C08945F08985;Blade Joiner 1.5;0
0102030405060708090A0B0C0D0E0F1011121314;EB01EA9CEB01EA53EB01EA51EB01EA52EB01EA56;BJFNT 1.1b -> :MARQUiS:;0
0102060708090A0B0C;6801E801000000C3C3;ASProtect 1.2x [New Strain] -> Alexey Solodovnikov;0
0102060708090A0B0C;6801E801000000C3C3;ASProtect 1.2x [New Strain] -> Alexey Solodovnikov;0
010203040809;00006801C3AA;ASProtect 1.2x -> Alexey Solodovnikov;0
010206;6801C3;ASProtect 1.2 -> Alexey Solodovnikov;0
0102040506;60E9050000;ASProtect 1.1 brs -> Alexey Solodovnikov;0
01020708090A0B0C;60E99178797979E9;ASProtect 1.1 MTE -> Alexey Solodovnikov;0
0102040506070F;60E9040000E9EE;ASProtect 1.1 -> Alexey Solodovnikov;0
0102030405060708090A0E0F1314151617;60E801000000905D81ED00BB0003DD2B9D;ASProtect 1.0 -> Alexey Solodovnikov;0
0102030405060708090A0B0C0D0E0F101112131415161718191A1B1C1D;60E803000000E9EB045D4555C3E801000000EB5DBBEDFFFFFF03DD81EB;ASPack 2.12 -> Alexey Solodovnikov;0
0102030405060708090A;60E802000000EB095D55;ASPack 2.11d -> Alexey Solodovnikov;0
0102030405060708090A0B0C0D0E0F10111213141516;60E802000000EB095D5581ED39394400C3E93D040000;ASPack 2.11b -> Alexey Solodovnikov;0
010203040506;60E93D040000;ASPack 2.11 -> Alexey Solodovnikov;0
0102030405060708;60E841060000EB41;ASPack 1.08.04 -> Alexey Solodovnikov;0
0102030405060708090A0B0C0D0E0F101112131415161718191A1B1D1E1F20212223;60EB0A5DEB02FF2545FFE5E8E9E8F1FFFFFFE981ED236A4400BB10440003DD2B9D72;ASPack 1.08.02 -> Alexey Solodovnikov;0
0102030405060708090A0B0C0D0E0F101112131418191A1B1D1E1F202122;60EB0A5DEB02FF2545FFE5E8E9E8F1FFFFFFE9814400BB10440003DD2B9D;ASPack 1.08.01 -> Alexey Solodovnikov;0
0102030405060708090D0E121314151618191B1C1D1E20212223242627;60E8000000005D81ED00B80003C52B85129D89851E9D0080BD089D0000;ASPack 1.04b -> Alexey Solodovnikov;0
0102030405060708090A0B0C0D0E0F12131415161718191A1B1C1D1E1F202122232425262728292A2B2C2D2E2F303132333435363738393A3B3C3D3E3F404142434445464748494A4B4C4D4E4F50;60E8000000005D81ED3ED94300B8380003C52B850BDE4300898517DE430080BD01DE4300007515FE8501DE4300E81D000000E879020000E8120300008B8503DE4300038517DE43008944241C61FF;ASPack 1.02a -> Alexey Solodovnikov;0
0102030405060708090A0B0C0D0E0F101112131415161718191A1B1C1D1E1F202122232425;60E8000000005D81ED921A4400B88C1A440003C52B85CD1D44008985D91D440080BDC41D44;ASPack 1.00b -> ALexey Solodovnikov;0
0102030405060708090A0B0C0D0E0F101112131415161718191A1B1C1D1E1F2021242526292A2B2C2D2E2F31;9C60E80200000033C08BC483C004938BE38B5BFC81EB0720400087DD6A046800106800026A00FF954623400B;Alloy 1.x.2000 -> Prakash Gautam;0
010206070B0C101112131415161718191A1B1C1D1E;60B900BA00BE000238404E75FA8BC28A1832DFC0CB;AcidCrypt -> AciDLeo;0
0102030405060B0C0D0E0F12;6006FC1E07BE6A0468001068;32Lite 0.03a -> Oleg Prokhorov;0
01020304090A0D0E0F;5589E5E8C9C3455845;MingWin32 GCC 2.x;0
0102070C0D10;5A686852E9FF;Microsoft Visual Basic 6.0 DLL;0
0102030405060B101112131415161718191A1B1C1D;558BEC6AFF686864A1000000005064892500000000;Microsoft Visual C++ 6.0;0
0102030405060708090A0B0C0D;558BEC5657BF010000008B750C;Microsoft Visual C++ DLL Method 4;0
0102030405060708090A0B0C0D0E0F10111213191A1B1C;53B8010000008B5C240C565785DB557512833D750933C0;Microsoft Visual C++ DLL Method 3;0
0102030405090B0C;535657BB018B2414;Microsoft Visual C++ DLL Method 2;0
0102030405060708090A0B0C0D0E0F;5355568B74241485F657B801000000;Microsoft Visual C++ DLL Method 1;0
0102030405060708090A0B;558BEC538B5D08568B750C;Microsoft Visual C++ 7.0 DLL Method 3;0
0102030405060708090A0B0C0D0E0F12;558BEC538B5D08568B750C578B7D1083;Microsoft Visual C++ 7.0 DLL Method 2;0
01020306070C0D0F1011121314191A1B1C;558D6C81EC8B4583F801560F8485C00F84;Microsoft Visual C++ 7.0 DLL Method 1\nMicrosoft Visual C++ 6.0 DLL;0
010308;6A68E8;Micorsoft Visual C++ 7.0 Method2;0
0103080D121314191A1C1D1E1F20212227282A2B303133;6A68E8BF8BC7E889658BF4893E56FF158B4E890D8B46A3;Microsoft Visual C++ 7.0;0
0102030405060708090A0F10111213141516;558BEC83EC50535657BE8D7DF4A5A566A58B;Microsoft Visual C++ 6.20;0
0102030405060708090A0B0C11161718191A1B1C1D1E1F212223;64A100000000558BEC6AFF6868506489250000000083EC535657;Microsoft Visual C++ 4.x;0
0102030405060B101112131415161718191A1B1C1D1E1F212223;558BEC6AFF686864A100000000506489250000000083C4535657;InstallShield 2000 stub;0
0102030405060708090A0B0C0D0E0F101112131415161718191A1B;5589E5535657837D0C017505E817000000FF7510FF750CFF7508A1;LCC Win32 DLL -> Jacob Navia;0
0102030405060708090A0B0C10111213141516;64A1000000005589E56AFF6800689A10400050;LCC Win32 1.x -> Jacob Navia;0
01020304050708090A0B0C0D0E0F101112131415;558BEC83C453565733C08945F08945D48945D0E8;Borland Delphi Setup Module;0
01060708090A0C0D0E0F15161718191E1F20;BA837D0C01755052C6058B4D08890D894A04;0102030405060B0C0D1112171C21222328292A2F;0
010203040708090E0F1015161718191A1B1C1D1E1F202122232425262B2C2D32;506A00E8FFFFBA528905894204C7420800000000C7420C00000000E85A58E8C3;Borland Delphi 4.0 - 5.0;0
010203040708090E0F10151617181D1E1F242526272829;506A00E8FFFFBA528905894204E85A58E8C3558BEC33C0;Borland Delphi 3.0;0
0102030405060708090A0B0C0D0E0F101112131415161718191A1B1C1D1E1F202122232425262728292A2E2F3031323337;558BEC83C4F053565733C08945F0B8CC3A4000E8E0FCFFFF33C05568EA3C400064FF306489206A0068806A036A006A0180;SecuPack 1.5 -> SC Soft;0
010607080D0E1318191E1F24282D;E86A00E88905E88905C7050AB8C3;Borland Delphi 2.0;0
010203040506070C111617;558BEC83C4B4B8E8E88D40;Borland Delphi DLL;0
0102030405060708090A0B0C0D0E;EB1066623A432B2B484F4F4B90E9;Borland C++ DLL Method 2;0
0106070809;A1C1E002A3;Borland C++ DLL Method 1;0
0102030405060708090A0B0C0D0E1318191A1B20;EB1066623A432B2B484F4F4B90E9A1C1E002A352;Borland C++ 1999;0
01060708090E0F101112171C1D1E1F20212223242526;A1C1E002A3575133C0BFB93BCF76052BCFFCF3AA595F;Borland C++;0
0102030405060708090A0B0C0D0E0F101112131415161718191A1B1C1D1E1F202122232425262728292A;558BEC6AFF6840D240006804AC400064A100000000506489250000000083EC585356578965E8FF15BCD0;WARNING -> VIRUS -> I-Worm KLEZ;0
0102030405060708090A0B0C0D0E0F1011;558BEC538B5D08568B750C578B7D1085F6;WARNING -> VIRUS -> W32@NimDA_mm;0
010203040506070B0C101112131415161718191A1B1C1D1E1F20212223242526272829;558BEC6AFF68B868D064A100000000506489250000000083EC585356578965E8FF1520;Armadillo 2.51 -> Silicon Realms Toolworks;0
010203040506070B0C101112131415161718191A1B1C1D1E1F202122232425262728292D2E2F30313233;558BEC6AFF68B868F864A100000000506489250000000083EC585356578965E8FF152033D28AD48915D0;Armadillo  -> Silicon Realms Toolworks;0
0102030405060B1011121314;558BEC6AFF686864A1000000;Armadillo 1.71 -> Silicon Realms Toolworks;0
0105090A0B;E900005741;Watcom C/C++;0
0102030405060B101112131415161718191A1B1C1D1E1F202122232425262728292D2E2F30313233;558BEC6AFF686864A100000000506489250000000083EC585356578965E8FF155833D28AD48915EC;Armadillo 2.5x - 2.6x -> Silicon Realms Toolworks;0
0;5D83ED06EB02EA048D;PESHiELD 0.251 -> ANAKiN;1
0;60E82B000000;PESHiELD 0.25 -> ANAKiN;1
0;E800000000;WIN32 PE packed / crypted -> δ?;1
0;60E8000000005D81EDF31D4000B97B0900008DBD3B1E40008BF7AC;yoda's cryptor 1.2;1
0;60E8000000005D81ED8A1C4000B99E0000008DBD4C2340008BF733;yoda's cryptor 1.1;1
